CountryID,Year,Month,Day,Latitude,Longitude,Altitude,Area,HostCultivar,GrowthStage,StemRustSeverity,StemRustIncidence,Binary disease presence,era5_t2m,era5_d2m,era5_tp,era5_ssrd,era5_t2m_lag1m,era5_d2m_lag1m,era5_tp_lag1m,era5_ssrd_lag1m,era5_t2m_lag2m,era5_d2m_lag2m,era5_tp_lag2m,era5_ssrd_lag2m,era5_rh,era5_rh_lag1m,ndvi,ndvi_lag1m
ET,2007,2,5,7.0518,39.1313,2408.0,1.0,HAR 1685,5,1,1,1,288.97900390625,279.4580078125,0.0018529254011809826,22815804.0,288.9189453125,278.990234375,0.0010995956836268306,20698736.0,,,,,53.13394119347102,51.64258521603543,0.2904,0.26830000000000004
ET,2007,2,5,7.0885,39.187,2388.0,-999.99,HAR 1685,5,1,1,1,289.29931640625,279.6259765625,0.0016343849711120129,22919514.0,289.1044921875,279.380859375,0.0008581894799135625,20693576.0,,,,,52.66344003782581,52.42955058259401,0.24910000000000002,0.2212
ET,2007,2,5,8.0162,39.1519,2777.0,2.0,HAR 1685,5,1,2,1,287.98095703125,278.5556640625,0.0018907557241618633,21894162.0,287.1787109375,278.392578125,0.0008590462966822088,20395140.0,,,,,53.222196915827375,55.42478457408011,0.3029,0.24230000000000002
ET,2007,2,7,7.3388,39.6922,1791.0,-999.99,Kubsa,6,1,2,1,286.22705078125,274.2861328125,0.0009376885718666017,22679502.0,285.3369140625,275.24609375,0.00022071777493692935,20284552.0,,,,,44.10793848710342,50.08722359974479,0.397,0.4898
ET,2007,2,7,8.026,39.0463,1718.0,-999.99,Kubsa,5,2,2,1,292.93798828125,282.6962890625,0.0008095013326965272,22564340.0,291.3896484375,282.44140625,0.0004479232302401215,20993808.0,,,,,51.611856283780625,55.88407606907414,0.2462,0.2291
ET,2007,2,26,7.3933,39.2701,2976.0,-999.99,Mixed,4,0,0,0,285.17431640625,274.9228515625,0.0016517709009349346,23543986.0,284.8505859375,274.783203125,0.0016554835019633174,21360060.0,,,,,49.47095054806278,50.03647698898818,0.2761,0.2737
ET,2007,2,26,7.4093,39.3329,3008.0,-999.99,K-Variety,3,0,0,0,285.17431640625,274.9228515625,0.0016517709009349346,23543986.0,284.8505859375,274.783203125,0.0016554835019633174,21360060.0,,,,,49.47095054806278,50.03647698898818,0.4123,0.43
ET,2007,2,26,8.0205,39.1568,2156.0,-999.99,K-Variety,4,0,0,0,287.98095703125,278.5556640625,0.0018907557241618633,21894162.0,287.1787109375,278.392578125,0.0008590462966822088,20395140.0,,,,,53.222196915827375,55.42478457408011,0.32780000000000004,0.2884
ET,2007,10,4,8.3781,39.331,1573.0,-999.99,,-9,0,0,0,293.32421875,279.808837890625,0.00032676703995093703,23004764.0,293.35205078125,285.69384765625,0.001501203398220241,20557364.0,292.52685546875,286.52099609375,0.003373136278241873,19701572.0,41.411247315888644,61.38427180918778,0.38680000000000003,0.45520000000000005
ET,2007,10,8,7.1286,39.2604,2358.0,80.0,HAR 1889,5,1,1,1,287.2109375,281.633056640625,0.0007340306765399873,19772284.0,287.70556640625,284.89306640625,0.009308160282671452,18302704.0,287.35693359375,285.11669921875,0.007864942774176598,17288222.0,69.08804300311185,83.21672208928746,0.4806,0.7698
